검색어,순번,한자,품사,설명,링크
수학,1,(水學),「명사」,물의현상에관하여연구하는학문.,https://stdict.korean.go.kr/search/searchView.do?word_no=198681&searchKeywordTo=3
수학,2,(受學),「명사」,학문을배우거나수업을받음.,https://stdict.korean.go.kr/search/searchView.do?word_no=198682&searchKeywordTo=3
수학,3,(修學),「명사」,학문을닦음.,https://stdict.korean.go.kr/search/searchView.do?word_no=198683&searchKeywordTo=3
수학,4,(粹學),「명사」,순수한학문.,https://stdict.korean.go.kr/search/searchView.do?word_no=198685&searchKeywordTo=3
수학,5,(數學),「명사」,"『수학』수량및공간의성질에관하여연구하는학문.대수학,기하학,해석학및이를응용하는학문을통틀어이르는말이다.",https://stdict.korean.go.kr/search/searchView.do?word_no=452991&searchKeywordTo=3
수학,6,(瘦鶴),「명사」,여윈학.,https://stdict.korean.go.kr/search/searchView.do?word_no=198961&searchKeywordTo=3
