검색어,순번,한자,품사,설명,링크
발,1,Nope,「명사」,사람이나동물의다리맨끝부분.,https://stdict.korean.go.kr/search/searchView.do?word_no=132767&searchKeywordTo=3
발,2,Nope,「명사」,나무나이테의굵기.,https://stdict.korean.go.kr/search/searchView.do?word_no=132544&searchKeywordTo=3
발,3,Nope,「명사」,"가늘고긴대를줄로엮거나,줄따위를여러개나란히늘어뜨려만든물건.주로무엇을가리는데쓴다.",https://stdict.korean.go.kr/search/searchView.do?word_no=429933&searchKeywordTo=3
발,4,Nope,「명사」,새로생긴나쁜버릇이나관례.,https://stdict.korean.go.kr/search/searchView.do?word_no=132545&searchKeywordTo=3
발,5,Nope,「명사」,실이나국수따위의가늘고긴물체의가락.,https://stdict.korean.go.kr/search/searchView.do?word_no=132546&searchKeywordTo=3
발,6,Nope,「명사」,남의비밀을캐내어다른사람에게넌지시알려주는짓.=발쇠.,https://stdict.korean.go.kr/search/searchView.do?word_no=132547&searchKeywordTo=3
발,7,Nope,「의존명사」,길이의단위.한발은두팔을양옆으로펴서벌렸을때한쪽손끝에서다른쪽손끝까지의길이이다.,https://stdict.korean.go.kr/search/searchView.do?word_no=429934&searchKeywordTo=3
발,8,Nope,「명사」,『음악』→바라.,https://stdict.korean.go.kr/search/searchView.do?word_no=132548&searchKeywordTo=3
발,9,(發),「의존명사」,"총알,포탄,화살따위를세는단위.",https://stdict.korean.go.kr/search/searchView.do?word_no=430707&searchKeywordTo=3
