검색어,순번,한자,품사,설명,링크
학원,1,(學員),「명사」,공부하는인원.,https://stdict.korean.go.kr/search/searchView.do?word_no=362856&searchKeywordTo=3
학원,2,(學院),「명사」,『교육』일정한목적ㆍ교과과정ㆍ설비ㆍ제도및법규에의하여계속적으로학생에게교육을실시하는기관.=학교.,https://stdict.korean.go.kr/search/searchView.do?word_no=503671&searchKeywordTo=3
학원,3,(學園),「명사」,『교육』학교및기타교육기관을통틀어이르는말.,https://stdict.korean.go.kr/search/searchView.do?word_no=362857&searchKeywordTo=3
학원,4,(學園),「명사」,"『문학』1919년에발간된최초의학생잡지.창가,소설따위가발표되어소년ㆍ소녀들에게처음으로문학적인분위기에접하는계기를만들어주었다.",https://stdict.korean.go.kr/search/searchView.do?word_no=362858&searchKeywordTo=3
