검색어,순번,한자,품사,설명,링크
소설,1,(小舌),「명사」,하찮거나쓸모없는변설(辯舌).,https://stdict.korean.go.kr/search/searchView.do?word_no=190897&searchKeywordTo=3
소설,2,(小雪),「명사」,"이십사절기의하나.입동과대설사이에들며,이때태양의황경(黃經)은240도가된다.11월22일이나23일경이다.",https://stdict.korean.go.kr/search/searchView.do?word_no=443956&searchKeywordTo=3
소설,3,(小說),「명사」,"『문학』사실또는작가의상상력에바탕을두고허구적으로이야기를꾸며나간산문체의문학양식.일정한구조속에서배경과등장인물의행동,사상,심리따위를통하여인간의모습이나사회상을드러낸다.분량에따라장편ㆍ중편ㆍ단편으로,내용에따라과학소설ㆍ역사소설ㆍ추리소설따위로구분할수있으며,옛날의설화나서사시따위의전통을이어받아근대에와서발달한문학양식이다.≒이야기.",https://stdict.korean.go.kr/search/searchView.do?word_no=184185&searchKeywordTo=3
소설,4,(所說),「명사」,설명하는바.,https://stdict.korean.go.kr/search/searchView.do?word_no=443957&searchKeywordTo=3
소설,5,(昭雪),「명사」,원통한죄나억울한누명따위를밝혀씻음.≒소석.,https://stdict.korean.go.kr/search/searchView.do?word_no=184186&searchKeywordTo=3
소설,6,(素雪),「명사」,하얀눈.=백설.,https://stdict.korean.go.kr/search/searchView.do?word_no=443958&searchKeywordTo=3
소설,7,(掃雪),「명사」,쌓인눈을치움.또는그런일.=제설.,https://stdict.korean.go.kr/search/searchView.do?word_no=190900&searchKeywordTo=3
소설,8,(疏泄),「명사」,『한의』뭉쳐있는기운을풀어서소통시키는기능.,https://stdict.korean.go.kr/search/searchView.do?word_no=443959&searchKeywordTo=3
소설,9,(騷說),「명사」,시끄럽게떠도는소문.,https://stdict.korean.go.kr/search/searchView.do?word_no=190902&searchKeywordTo=3
