제목,분류,동영상 길이,동영상 타입,조회수,좋아요 수,댓글 수
"Diane Guerrero, Stephanie Beatriz - What Else Can I Do? (From ""Encanto"")", Music,185,Short,82757625,639121,19246
"Jessica Darrow - Surface Pressure (From ""Encanto""/Sing-Along)", Music,206,Short,54720636,405960,10348
"Becky G, KAROL G - MAMIII (Audio)", Music,228,Short,51602828,1568824,56623
Adele - Oh My God (Official Video), Music,233,Short,49426784,1130774,36687
"Sebastián Yatra - Dos Oruguitas (From ""Encanto"")", Music,308,Medium,43442395,496419,14168
"Various Artists - We Don't Talk About Bruno (In 21 Languages) (From ""Encanto"")", Music,234,Short,35848404,411685,16453
"Mahmood, BLANCO - Brividi (Sanremo 2022)", Music,202,Short,33322822,497586,18571
The Weeknd - Sacrifice (Official Music Video), Music,244,Medium,30004710,695898,29765
"TAEYONG, JENO, HENDERY, YANGYANG, GISELLE 'ZOO' Stage Video", Music,189,Short,29766189,1295222,24355
펜타곤(PENTAGON) - 'Feelin' Like' Official Music Video, Music,172,Short,29088005,233215,35260
"NMIXX ""O.O"" M/V", Music,214,Short,31806844,723946,139108
"Encanto - Cast - All Of You (From ""Encanto""/Sing-Along)", Music,273,Medium,27587883,225742,8415
Stromae - L’enfer (Official Music Video), Music,195,Short,26850921,817614,29874
"Stephanie Beatriz - Waiting On A Miracle (From ""Encanto"")", Music,170,Short,26944397,275900,11521
ENHYPEN (엔하이픈) 'Blessed-Cursed' Official MV, Music,189,Short,26368885,1843717,149204
King Gnu - 逆夢, Music,320,Medium,26331838,326304,10598
Ozuna - DEPRIMIDA (Video Oficial), Music,231,Short,26277210,191775,4738
Shawn Mendes - It'll Be Okay, Music,233,Short,24015183,979523,27244
Encanto OST (acapella), Music,96,Short,23932763,595641,13087
fromis_9 (프로미스나인) 'DM' Official MV, Music,207,Short,23383005,329493,20310
"Wisin, Camilo, Los Legendarios - Buenos Días (Official Video)", Music,215,Short,20785361,328977,6836
Ed Sheeran - The Joker And The Queen (feat. Taylor Swift) [Official Video], Music,187,Short,20962431,579687,17249
Don Omar - Sincero (Official Music Video), Music,236,Short,19961194,478386,25593
Christian Nodal - Ya No Somos Ni Seremos (Video Oficial), Music,197,Short,20645717,610833,25847
Luan Santana - ABALO EMOCIONAL (Baixinha Invocada) (LUAN CITY), Music,165,Short,19158414,165414,8274
YENA (최예나) - SMILEY (Feat. BIBI) MV, Music,254,Medium,18758637,426508,19841
NGÀY ĐẦU TIÊN - ĐỨC PHÚC | OFFICIAL MUSIC VIDEO | VALENTINE 2022, Music,340,Medium,18984351,361898,10804
ERIK - Yêu đương khó quá thì CHẠY VỀ KHÓC VỚI ANH | Official Music Video (Genshin Impact), Music,226,Short,17579335,233050,10501
"Christina Aguilera, Ozuna - Santo (Official Video)", Music,194,Short,16718992,214657,14847
米津玄師  - POP SONG, Music,238,Short,16683669,309383,18722
Irama - Ovunque Sarai (Official Video) [Sanremo 2022], Music,201,Short,16333862,236436,9512
¡Las Mejores Canciones de La Vaca Lola! - La Granja de Zenón | El Reino Infantil, Music,1065,Medium,15380874,52975,0
"Sofia Reyes , @Maria Becerra Music - Marte [Official Music Video]", Music,222,Short,15504469,246404,12330
"Alesso, Katy Perry - When I'm Gone (Official Music Video)", Music,177,Short,14931899,444339,59629
휘인(Whee In) - 오묘해(Make Me Happy) MV, Music,206,Short,14599336,188177,32683
Ojos Rojos - Nicky Jam | Video Oficial, Music,157,Short,12570459,137469,4108
비투비 (BTOB) - '노래 (The Song)' Official Music Video, Music,256,Medium,16288061,156635,27460
Chris Brown - Iffy (Official Video), Music,191,Short,12183551,337382,19989
TAEYEON 태연 'INVU' MV, Music,218,Short,12277336,748612,36474
The Chainsmokers - High (Official Video), Music,197,Short,12024420,231798,10135
Sebastián Yatra - Amor Pasajero (Official Video), Music,163,Short,11565380,241250,7623
Kim Loaiza - INCONDICIONAL ft JD Pantoja (Video Oficial), Music,156,Short,11454851,1054264,66996
Ricky Martin - Otra Noche en L.A. (Official Video), Music,225,Short,10797174,68970,4127
TAEYEON 태연 'Can't Control Myself' MV, Music,206,Short,10594220,537145,20389
Sebastián Yatra - Melancólicos Anónimos (Official Video), Music,202,Short,10186990,263803,7433
[MV] 문별 (Moon Byul) - LUNATIC, Music,242,Medium,9298866,280597,25535
[STATION : NCT LAB] MARK 마크 'Child' MV, Music,218,Short,9339305,1073107,74088
Romeo Santos - Sus Huellas (Official Video), Music,267,Medium,9380626,288564,8917
Elisa - O Forse Sei Tu (Sanremo 2022), Music,231,Short,8404327,94103,4270
Aimer「朝が来る」MUSIC VIDEO（テレビアニメ「鬼滅の刃」遊郭編エンディングテーマ）, Music,291,Medium,8320976,117744,2700
