제목,분류,동영상 길이,동영상 타입,조회수,좋아요 수,댓글 수
Hyundai N | “Ready for 2022 WRC Hybrid”, Cars & Vehicles,93,short,32689989,277,42
MOMOLAND X NATTI NATASHA 'Yummy Yummy Love' M/V, Entertainment,209,short,31628489,655468,55869
"TAEYONG, JENO, HENDERY, YANGYANG, GISELLE 'ZOO' Stage Video", Music,189,short,29766189,1295237,24356
펜타곤(PENTAGON) - 'Feelin' Like' Official Music Video, Music,172,short,29088124,233218,35260
"NMIXX ""O.O"" M/V", Music,214,short,31821188,724018,139105
ENHYPEN (엔하이픈) 'Blessed-Cursed' Official MV, Music,189,short,26368885,1843721,149206
Encanto OST (acapella), Music,96,short,23933710,595647,13087
fromis_9 (프로미스나인) 'DM' Official MV, Music,207,short,23383148,329494,20310
Exynos 2200: Playtime is over | Samsung, Science & Technology,60,short,21792774,15311,1559
Galaxy S21 FE 5G: Official Introduction Film | Samsung, Science & Technology,60,short,20597287,29904,1722
VICTON 빅톤 'Chronograph' MV, Entertainment,177,short,16603763,92881,7872
Apink 에이핑크 'Dilemma' MV, Entertainment,218,short,16521933,199649,20105
Galaxy S22 Ultra: Official Introduction Film | Samsung, Science & Technology,207,short,16265572,52507,2836
Galaxy S22 Ultra Official film: The epic standard | Samsung, Science & Technology,36,short,16266121,28486,1433
Samsung Galaxy Unpacked February 2022: Official Trailer, Science & Technology,30,short,15555152,17600,1184
Samsung Galaxy Unpacked February 2022: Tiger in the city, Science & Technology,39,short,15391796,16368,1131
We are behind every wish | Samsung, Science & Technology,179,short,12883949,5054,368
Robo Dog :30 | Live Fully Charged | The All-Electric Kia EV6, Cars & Vehicles,31,short,12247215,290,20
TAEYEON 태연 'INVU' MV, Music,218,short,12277336,748630,36475
DRIPPIN(드리핀) ‘Villain’ MV, Entertainment,205,short,11470376,51809,6046
Raktanchal Season 2 | Official Trailer | MX Original Series | MX Player, Entertainment,134,short,10803895,31736,960
TAEYEON 태연 'Can't Control Myself' MV, Music,206,short,10594370,537144,20389
[STATION : NCT LAB] MARK 마크 'Child' MV, Music,218,short,9339305,1073106,74089
두가지맛 꿀젤리~~~#shorts  honey jelly, People & Blogs,24,short,7886653,0,110
ASTRO 아스트로 진진&라키 - 숨 좀 쉬자(Just Breath) M/V, Entertainment,209,short,7304491,182443,23350
The Freestyle: Official Launch Film | Samsung, Science & Technology,73,short,7169749,9442,392
[NMIXX] Debut Trailer, Music,101,short,6055473,487415,42089
[최초공개] Kep1er(케플러) - MVSK (4K) | Kep1er DEBUT SHOW | Mnet 220103 방송, Entertainment,211,short,6031157,280101,8995
WOOZI 'Ruby' Official MV, Music,165,short,5720405,533736,29030
[MV] VIVIZ _ BOP BOP!, Entertainment,225,short,5470752,321260,22245
[트라하인피니티] I am Traha. I am Infinity_Pre-Order (15s), People & Blogs,16,short,5382083,14,10
[단독샷캠] 에스파 'Dreams Come True' 단독샷 별도녹화│aespa ONE TAKE STAGE│@SBS Inkigayo_2022.01.09., Entertainment,221,short,5415145,116311,2329
BLACKPINK 2022 WELCOMING COLLECTION PREVIEW, Music,31,short,4607686,738536,34161
[릴레이댄스] Kep1er(케플러) - WA DA DA (4K), Entertainment,204,short,4562195,288461,5762
راجل مفتري يضرب طفل ويعلقوا في الشارع || لحقتوا❤️ || يوسف خالد, Entertainment,52,short,4391777,83630,79
Galaxy Tab S8 Ultra: Official Launch Film | Samsung, Science & Technology,31,short,4234137,2694,136
"Stray Kids ""ODDINARY"" Trailer", Music,87,short,3995936,785797,49374
[BANGTAN BOMB] BTS’s Chaotic Break Time - BTS (방탄소년단), Music,135,short,3893991,702532,20756
코로나19 자가검사키트 사용법 및 행동요령, News & Politics,40,short,3905939,408,36
헤이마마X몽키매직｜JTBC봐야지 #shorts, Entertainment,31,short,3621094,82621,882
"[광고] 현대자동차 자율주행 ""모두의 자율주행이 될 때까지"" - 본편", Cars & Vehicles,31,short,3714682,205,54
Galaxy Tab S8 Ultra: Official Introduction | Samsung, Science & Technology,95,short,3438014,21165,1113
미니팡 교육동요 | 알록달록 미끄럼틀 | 토끼 | 오리 | 염소 | 돼지 | 색깔놀이 | 미니팡 3D동요!, Film & Animation,132,short,3387586,11226,0
SpongeBob SquarePants theme (acapella), Music,67,short,3319840,109170,2326
IVE(아이브 アイヴ) - ELEVEN(일레븐) (Music Bank) | KBS WORLD TV 220107, Music,195,short,3317999,105649,2467
"지금 내 피부는 슈아, 보타랩 바디x전지현 TVCF 15s", People & Blogs,16,short,3488011,45,1
Kep1er(케플러) - WA DA DA @인기가요 inkigayo 20220123, Entertainment,199,short,3188391,97973,1732
ซื้อวันนี้ไฮลักซ์ รีโว่ ทุกรุ่น วันนี้ รับข้อเสนอพิเศษ, Cars & Vehicles,15,short,3214673,62,0
BTS (방탄소년단) PTD ON STAGE - SEOUL: LIVE VIEWING SPOT, Music,31,short,3084637,737191,20766
#AsianQualifiers - Group B | Vietnam 3 - 1 China PR, Sport,172,short,2996523,34684,6242
