제목,분류,동영상 길이,동영상 타입,조회수,좋아요 수,댓글 수
YENA (최예나) - SMILEY (Feat. BIBI) MV, Music,254,medium,18758776,426510,19841
NGÀY ĐẦU TIÊN - ĐỨC PHÚC | OFFICIAL MUSIC VIDEO | VALENTINE 2022, Music,340,medium,18985005,361903,10804
MAX CHANGMIN 최강창민 'Devil' MV, Music,241,medium,13234046,101568,5970
비투비 (BTOB) - '노래 (The Song)' Official Music Video, Music,256,medium,16303821,156651,27459
[입덕직캠] 갓 더 비트 윈터 직캠 4K 'Step Back' (GOT the beat WINTER FanCam) | @MCOUNTDOWN_2022.1.27, Entertainment,272,medium,10247678,384485,20243
[MV] 문별 (Moon Byul) - LUNATIC, Music,242,medium,9298947,280598,25535
Romeo Santos - Sus Huellas (Official Video), Music,267,medium,9383203,288583,8917
"먹방 :) 토핑가득 짜장불닭 떡볶이 (주꾸미, 새우, 버섯, 가래떡, 비엔나 소세지,어묵, 중국당면까지 크악~ 너무 맛있어.", People & Blogs,671,medium,8397364,95472,1258
Rams vs. Bengals | Super Bowl LVI Game Highlights, Sport,963,medium,8191363,94331,14052
[GOT the beat - Step Back] Special Stage | #엠카운트다운 EP.737 | Mnet 220127 방송, Entertainment,298,medium,7482427,409432,12166
Official髭男dism - Anarchy［Official Video］, Music,267,medium,7442840,91565,5401
"파스타 장인! 25년 경력 셰프의 토마토, 크림, 오일 파스타 만들기 / pasta making skill! tomato, cream, oil pasta making", Travel & Events,837,medium,6517914,70280,1409
[최초공개] Kep1er(케플러) - WA DA DA (4K) | Kep1er DEBUT SHOW | Mnet 220103 방송, Entertainment,256,medium,6227366,283257,4622
Painting Firefly Forest / Easy Acrylic Painting Technique, Education,480,medium,6043680,81707,1529
[ENG sub] 다 같이 풀어요🧟‍♂️좀비 모의고사 Ep.01 | 지금 우리 학교는 | 넷플릭스, Entertainment,784,medium,5612774,167858,2869
'SPECIAL STAGE' '신'인 걸그룹 'GOT the beat'의 'Step Back' 무대, Entertainment,296,medium,5581999,224939,8283
Meenoi's Yorizori Season2 | EP.5 BE’O, Entertainment,1006,medium,5015938,127451,8246
