제목,분류,동영상 길이,동영상 타입,조회수,좋아요 수,댓글 수
Amazon’s Big Game Commercial: Mind Reader, Science & Technology,91,Short,68987576,20219,1679
Zach Braff and Donald Faison Sing a Duet for Home Internet | T-Mobile, Science & Technology,31,Short,41068986,3826,448
[CES 2022] The Better Life You Deserve : Main | LG, Science & Technology,1750,Long,36527697,777,75
Miley Cyrus Sings a Song for 5G Phones | T-Mobile, Science & Technology,31,Short,29623344,3200,730
[CES 2022] THE STAGE 2022 : Your Experience Begins│LG, Science & Technology,1899,Long,26640931,3472,234
Exynos 2200: Playtime is over | Samsung, Science & Technology,60,Short,21792774,15311,1559
Galaxy S21 FE 5G: Official Introduction Film | Samsung, Science & Technology,60,Short,20597287,29904,1722
[CES 2022] Together for tomorrow: Full Replay | Samsung, Science & Technology,3305,Long,18456867,2772,0
Galaxy S21 Series 5G: Everyday made epic | Samsung, Science & Technology,30,Short,17448146,1843,103
OLED World by Diamond Pixel™  (Samsung Display), Science & Technology,96,Short,17194514,1444,54
Galaxy S22 Ultra: Official Introduction Film | Samsung, Science & Technology,207,Short,16265538,52505,2836
Galaxy S22 Ultra Official film: The epic standard | Samsung, Science & Technology,36,Short,16266121,28485,1433
Samsung Galaxy Unpacked February 2022: Official Trailer, Science & Technology,30,Short,15555152,17600,1184
Samsung Galaxy Unpacked February 2022: Tiger in the city, Science & Technology,39,Short,15391796,16368,1131
We are behind every wish | Samsung, Science & Technology,179,Short,12883949,5054,368
Galaxy Unpacked February 2022 Highlights | Samsung, Science & Technology,158,Short,11154549,288,22
LG 트롬 오브제컬렉션 :  6모션 건조 뮤지컬 편 (Feat. 티키틱), Science & Technology,148,Short,10392392,1289,219
Chegou o tablet da Motorola - moto tab g70, Science & Technology,15,Short,10081150,275,122
Galaxy Unpacked February 2022: Official Replay l Samsung, Science & Technology,3885,Long,9360186,0,0
iPhone 13 | Run Baby Run | Apple, Science & Technology,39,Short,8950497,18379,0
Samsung Galaxy Unpacked: Break the rules of what’s possible, Science & Technology,15,Short,8235876,30449,2318
Amazon Alexa - Podcast, Science & Technology,16,Short,8427008,77,6
The Freestyle: Unexpected joy everywhere | Samsung, Science & Technology,65,Short,7557920,2451,124
Jackie Aina presents Security Checkup | Safer with Google, Science & Technology,55,Short,8341204,114,52
Get ready for an epic pre-booking | Samsung, Science & Technology,41,Short,7402726,376,54
Amazon Alexa - Funk, Science & Technology,16,Short,7911233,103,16
The Freestyle: Official Launch Film | Samsung, Science & Technology,73,Short,7169749,9442,392
タケダ：企業ブランディングキャンペーンVol.2「ダイバーシティ」篇, Science & Technology,31,Short,8308077,0,0
Emma Chamberlain presents Security Checkup | Safer with Google, Science & Technology,46,Short,7074631,225,29
The Separation of Conjoined Twins Lily and Addy Altobelli, Science & Technology,842,Medium,6036004,52534,1649
Samsung Galaxy Unpacked February 2022: Break the rules of light, Science & Technology,30,Short,5767737,24379,1459
iPhone 13 | Doin’ Laps | Apple, Science & Technology,69,Short,5756340,39163,0
Galaxy Z Flip3: Flex Mode for your swing | Samsung, Science & Technology,16,Short,5608590,3006,151
How to Prevent the Next Pandemic, Science & Technology,85,Short,5434442,4833,0
Galaxy Z Flip3: The ultimate workout buddy | Samsung, Science & Technology,16,Short,5355539,1518,102
【IIJ CM】いんたーねっとエンジニア - DDoS攻撃 防御篇 -, Science & Technology,137,Short,5312863,0,0
The Samsung S22 Ultra is secretly AMAZING., Science & Technology,829,Medium,5238602,242048,14612
Trixie Mattel presents Security Checkup | Safer with Google, Science & Technology,61,Short,5333087,245,0
iPhone 13 Pro로 찍다 | 박찬욱 감독 작품 - 일장춘몽 | Apple, Science & Technology,1292,Long,5047265,24269,0
2025 조끼 안에서 우연히 마스크를 발견하다 #Shorts, Science & Technology,22,Short,4677751,93205,1799
Galaxy Tab S8 Ultra: Official Launch Film | Samsung, Science & Technology,31,Short,4234137,2694,136
DOOSAN TVC 'New Business' 편, Science & Technology,31,Short,4323671,57,0
OLED at smithonian 〈the FUTURES〉 exhibition | Highlights, Science & Technology,76,Short,4153378,16,6
Dolly Parton and Miley Cyrus Help 5G Phones' Dreams Come True | T-Mobile, Science & Technology,31,Short,3655141,621,100
Computer Scientist Explains One Concept in 5 Levels of Difficulty | WIRED, Science & Technology,1356,Long,3660163,99168,3578
OPPO Find X5 Series | Launch Event, Science & Technology,3065,Long,3639761,906,93
HUAWEI Sound Joy ile Kesintisiz Müzik, Science & Technology,21,Short,3471555,28,25
Galaxy Tab S8 Ultra: Official Introduction | Samsung, Science & Technology,95,Short,3438014,21165,1113
Everyday People Creating Climate Solutions | The Ecopreneurs Ep 1 | Future Episodes on Salesforce+, Science & Technology,661,Medium,3344915,87,7
Blue Bubbles vs Green Bubbles: Explained!, Science & Technology,1246,Medium,3323307,171761,20218
