번호,종목명,평가액(억원),자산군 내 비중(%),지분율(%)
784,CARLSBERG AS B,471.22,0.02,0.24
785,CONSOLIDATED EDISON INC,469.24,0.02,0.17
786,DEUTSCHE BANK AG REGISTERED,467.44,0.02,0.19
787,WILLIAMS COS INC,466.71,0.02,0.18
788,DARDEN RESTAURANTS INC,461.08,0.02,0.27
789,SSE PLC,461.03,0.02,0.20
790,NIPPON PAINT HOLDINGS CO LTD,460.75,0.02,0.12
791,EDP ENERGIAS DE PORTUGAL SA,459.77,0.02,0.17
792,AVALONBAY COMMUNITIES INC,458.81,0.02,0.19
793,ROGERS COMMUNICATIONS INC B,458.11,0.02,0.23
794,COLOPLAST B,457.81,0.02,0.14
795,KUNLUN ENERGY CO LTD,456.12,0.02,0.57
796,CONSTELLATION SOFTWARE INC,456.09,0.02,0.14
797,ARTHUR J GALLAGHER + CO,454.57,0.02,0.18
798,TIFFANY + CO,454.19,0.02,0.26
799,WELLTOWER INC,452.17,0.02,0.15
800,HOWARD HUGHES CORP/THE,451.87,0.02,0.96
801,CELANESE CORP,451.74,0.02,0.27
802,TDK CORP,451.33,0.02,0.21
803,MAXIM INTEGRATED PRODUCTS,450.78,0.02,0.17
804,DTE ENERGY COMPANY,450.56,0.02,0.18
805,NESTLE SA SPONS ADR,449.83,0.02,0.01
806,ITAU UNIBANCO HOLDING S PREF,449.20,0.02,0.14
807,FORTUM OYJ,448.23,0.02,0.19
808,CITRIX SYSTEMS INC,447.89,0.02,0.26
809,MS+AD INSURANCE GROUP HOLDIN,446.51,0.02,0.23
810,REPUBLIC SERVICES INC,445.11,0.02,0.13
811,EDENRED,444.17,0.02,0.29
812,ASHTEAD GROUP PLC,441.47,0.02,0.19
813,LIVE NATION ENTERTAINMENT IN,439.86,0.02,0.25
814,BANCO BRADESCO ADR,434.12,0.02,0.17
815,LIVANOVA PLC,433.66,0.02,1.24
816,GEELY AUTOMOBILE HOLDINGS LT,433.61,0.02,0.12
817,PICC PROPERTY + CASUALTY H,430.33,0.02,0.75
818,HARTFORD FINANCIAL SVCS GRP,430.27,0.02,0.23
819,RALPH LAUREN CORP,429.20,0.02,0.79
820,INTL FLAVORS + FRAGRANCES,428.79,0.02,0.34
821,ENPHASE ENERGY INC,428.52,0.02,0.18
822,FLEETCOR TECHNOLOGIES INC,426.56,0.02,0.17
823,ZEBRA TECHNOLOGIES CORP CL A,426.54,0.02,0.19
824,GRUPO TELEVISA SA SPON ADR,425.40,0.02,0.76
825,FAIR ISAAC CORP,425.30,0.02,0.26
826,COOPER COS INC/THE,424.39,0.02,0.22
827,SEGRO PLC,424.28,0.02,0.25
828,COUPA SOFTWARE INC,422.09,0.02,0.16
829,AMCOR PLC,421.03,0.02,0.21
830,MERCK KGAA,419.34,0.02,0.17
831,DOVER CORP,418.48,0.02,0.21
832,FUJIFILM HOLDINGS CORP,418.45,0.02,0.14
833,SBERBANK PJSC  SPONSORED ADR,416.33,0.02,0.07
834,DENTSPLY SIRONA INC,415.71,0.02,0.33
835,ARISTA NETWORKS INC,413.93,0.02,0.17
836,SS+C TECHNOLOGIES HOLDINGS,411.64,0.02,0.20
837,NOMURA RESEARCH INSTITUTE LT,411.26,0.02,0.16
838,MAKITA CORP,411.12,0.02,0.27
839,XERO LTD,410.54,0.02,0.23
840,UNITED MICROELECTRONICS CORP,410.33,0.02,0.18
841,WEG SA,409.39,0.02,0.12
842,PPL CORP,408.26,0.02,0.17
843,FLIR SYSTEMS INC,407.87,0.02,0.63
844,FERROVIAL SA,407.74,0.02,0.18
845,TELADOC HEALTH INC,405.60,0.02,0.13
846,OLYMPUS CORP,405.50,0.02,0.12
847,INFOSYS LTD SP ADR,403.69,0.02,0.05
848,BANDAI NAMCO HOLDINGS INC,403.53,0.02,0.19
849,BURLINGTON STORES INC,403.08,0.02,0.21
850,Z HOLDINGS CORP,403.07,0.02,0.13
851,LUKOIL PJSC,402.74,0.02,0.08
852,C.H. ROBINSON WORLDWIDE INC,402.55,0.02,0.29
853,REGIONS FINANCIAL CORP,401.35,0.02,0.24
854,EXPEDIA GROUP INC,398.00,0.02,0.20
855,MONGODB INC,396.47,0.02,0.17
856,QORVO INC,395.81,0.02,0.19
857,DAI ICHI LIFE HOLDINGS INC,395.33,0.02,0.20
858,CBOE GLOBAL MARKETS INC,394.53,0.02,0.36
859,POWER CORP OF CANADA,392.69,0.02,0.25
860,DNB ASA,392.51,0.02,0.12
861,KKR + CO INC,386.94,0.02,0.15
862,ATLAS COPCO AB B SHS,386.51,0.02,0.20
863,WESTERN DIGITAL CORP,386.00,0.02,0.21
864,FRESENIUS MEDICAL CARE AG +,385.90,0.02,0.15
865,NEC CORP,385.49,0.02,0.24
866,CREDIT AGRICOLE SA,379.87,0.02,0.09
867,DAVIDE CAMPARI MILANO NV,379.73,0.02,0.26
868,EXACT SCIENCES CORP,379.42,0.02,0.17
869,REALTY INCOME CORP,379.08,0.02,0.16
870,HANGZHOU TIGERMED CONSULTI H,377.91,0.02,1.22
871,WHEATON PRECIOUS METALS CORP,376.66,0.02,0.26
872,CANON INC,375.86,0.02,0.14
873,HORMEL FOODS CORP,375.43,0.02,0.14
874,RELX PLC,373.29,0.02,0.28
875,ANHUI CONCH CEMENT CO LTD H,373.02,0.02,0.42
876,FIFTH THIRD BANCORP,372.93,0.02,0.17
877,EAST MONEY INFORMATION CO A,372.43,0.02,0.09
878,B2GOLD CORP,372.36,0.02,0.58
879,AMEREN CORPORATION,371.98,0.02,0.18
880,OLD DOMINION FREIGHT LINE,371.79,0.02,0.15
881,CHINA RESOURCES LAND LTD,371.78,0.02,0.12
882,REALPAGE INC,371.65,0.02,0.38
883,ENTERGY CORP,369.35,0.02,0.17
884,LIBERTY BROADBAND C,369.25,0.02,0.10
885,SUNNY OPTICAL TECH,368.32,0.02,0.14
886,AMERICAN FINANCIAL GROUP INC,368.05,0.02,0.44
887,SBERBANK OF RUSSIA PJSC,368.01,0.02,0.12
888,RUBIS,367.67,0.02,0.70
889,LUKOIL PJSC SPON ADR,367.20,0.02,0.12
890,UNICREDIT SPA,366.97,0.02,0.16
891,IDEX CORP,365.32,0.02,0.22
892,INCYTE CORP,364.28,0.02,0.18
893,NITORI HOLDINGS CO LTD,362.71,0.02,0.14
894,TELEDYNE TECHNOLOGIES INC,362.02,0.02,0.23
895,CDW CORP/DE,361.28,0.02,0.18
896,SVENSKA HANDELSBANKEN A SHS,358.33,0.02,0.17
897,POLY DEVELOPMENTS AND HOLD A,358.23,0.02,0.12
898,SAUDI BASIC INDUSTRIES CORP,357.44,0.02,0.04
899,NUCOR CORP,356.75,0.02,0.20
900,UNITED RENTALS INC,356.56,0.02,0.20
901,RESTAURANT BRANDS INTERN,355.78,0.02,0.18
902,CHINA OVERSEAS LAND + INVEST,353.62,0.02,0.14
903,BOSTON PROPERTIES INC,353.29,0.02,0.22
904,HUBSPOT INC,353.15,0.02,0.18
905,STORE CAPITAL CORP,352.76,0.02,0.36
906,HORIZON THERAPEUTICS PLC,351.71,0.02,0.20
907,AMERICA MOVIL SAB DE C SER L,351.23,0.02,0.10
908,HISCOX LTD,348.89,0.02,0.68
909,MIDEA GROUP CO LTD A,348.62,0.02,0.05
910,AKAMAI TECHNOLOGIES INC,348.23,0.02,0.19
911,CMS ENERGY CORP,347.72,0.02,0.18
912,BLACK KNIGHT INC,347.56,0.02,0.23
913,SOLAREDGE TECHNOLOGIES INC,347.54,0.02,0.20
914,ZHENGZHOU YUTONG BUS CO  A,345.81,0.02,0.56
915,GARTNER INC,345.68,0.02,0.22
916,ZENDESK INC,345.08,0.02,0.19
917,MONOLITHIC POWER SYSTEMS INC,344.77,0.02,0.19
918,AL RAJHI BANK,344.49,0.02,0.06
919,XYLEM INC,343.50,0.02,0.17
920,ARISTOCRAT LEISURE LTD,342.18,0.02,0.21
921,WALMART DE MEXICO SAB DE CV,342.11,0.02,0.06
922,FIBRA UNO ADMINISTRACION SA,341.93,0.02,0.69
923,FIRSTENERGY CORP,341.73,0.02,0.19
924,VENTAS INC,341.29,0.02,0.17
925,DELTA ELECTRONICS INC,341.01,0.02,0.13
926,P G + E CORP,339.25,0.02,0.13
927,ITC LTD,338.73,0.02,0.09
928,ULTA BEAUTY INC,337.73,0.02,0.19
929,GROUPE BRUXELLES LAMBERT SA,336.97,0.02,0.19
930,TRIMBLE INC,336.78,0.02,0.19
931,INTACT FINANCIAL CORP,335.45,0.02,0.18
932,NEXON CO LTD,335.28,0.02,0.11
933,HUNTINGTON BANCSHARES INC,334.90,0.02,0.24
934,KEYCORP,334.86,0.02,0.19
935,SUZUKI MOTOR CORP,332.24,0.02,0.13
936,ANTA SPORTS PRODUCTS LTD,331.78,0.02,0.07
937,RIOCAN REAL ESTATE INVST TR,331.52,0.02,0.73
938,FIAT CHRYSLER AUTOMOBILES NV,331.15,0.02,0.11
939,ARCH CAPITAL GROUP LTD,329.76,0.02,0.21
940,INVITATION HOMES INC,329.59,0.02,0.18
941,MARTIN MARIETTA MATERIALS,329.48,0.02,0.17
942,BANCO BRADESCO SA PREF,329.13,0.02,0.13
943,ULTRATECH CEMENT LTD,328.29,0.02,0.14
944,PUBLICIS GROUPE,328.22,0.02,0.24
945,CHINA TOURISM GROUP DUTY F A,328.14,0.02,0.06
946,QATAR NATIONAL BANK,328.03,0.02,0.07
947,SLACK TECHNOLOGIES INC  CL A,327.33,0.02,0.15
948,BARRICK GOLD CORP,326.90,0.02,0.26
949,NOVOCURE LTD,326.76,0.02,0.17
950,BIOMARIN PHARMACEUTICAL INC,326.73,0.02,0.19
951,CORPORATE OFFICE PROPERTIES,325.37,0.02,1.02
952,FISHER + PAYKEL HEALTHCARE C,325.25,0.02,0.20
953,LARSEN + TOUBRO LTD,325.09,0.02,0.12
954,OMRON CORP,325.07,0.02,0.16
955,BANCO DE SABADELL SA,322.35,0.02,1.22
956,SWEDBANK AB   A SHARES,322.04,0.02,0.15
957,MID AMERICA APARTMENT COMM,320.37,0.02,0.20
958,OTSUKA HOLDINGS CO LTD,320.33,0.02,0.12
959,SWEDISH MATCH AB,319.60,0.02,0.23
960,TELUS CORP,317.19,0.02,0.11
961,CARMAX INC,316.68,0.02,0.19
962,SHIONOGI + CO LTD,316.27,0.02,0.17
963,SINGAPORE TELECOMMUNICATIONS,315.87,0.02,0.10
964,HAIER SMART HOME CO LTD A,315.82,0.02,0.11
965,STERIS PLC,315.67,0.02,0.18
966,ESSEX PROPERTY TRUST INC,314.37,0.02,0.19
967,GENUINE PARTS CO,313.83,0.02,0.20
968,PERKINELMER INC,313.64,0.02,0.18
969,LEIDOS HOLDINGS INC,313.15,0.02,0.19
970,PAN PACIFIC INTERNATIONAL HO,312.80,0.02,0.20
971,ONEOK INC,312.75,0.02,0.17
972,ADVANTEST CORP,311.91,0.02,0.19
973,TENCENT MUSIC ENTERTAINM ADR,311.88,0.02,0.22
974,ENN ENERGY HOLDINGS LTD,311.65,0.02,0.17
975,VARIAN MEDICAL SYSTEMS INC,311.55,0.02,0.18
976,NVR INC,311.12,0.02,0.19
977,DATADOG INC   CLASS A,309.94,0.02,0.14
978,MGM RESORTS INTERNATIONAL,309.90,0.02,0.18
979,LI NING CO LTD,309.78,0.02,0.17
980,SAUDI ARABIAN OIL CO,309.50,0.02,0.00
981,SIEMENS HEALTHINEERS AG,308.98,0.02,0.05
982,MTU AERO ENGINES AG,308.71,0.02,0.20
983,ARAMARK,308.57,0.02,0.29
984,PACKAGING CORP OF AMERICA,307.90,0.02,0.22
985,CROWN HOLDINGS INC,307.89,0.02,0.21
986,PRINCIPAL FINANCIAL GROUP,307.85,0.02,0.21
987,HCL TECHNOLOGIES LTD,307.49,0.02,0.08
988,MARUTI SUZUKI INDIA LTD,307.38,0.02,0.09
989,WH GROUP LTD,307.20,0.02,0.23
990,SAMPO OYJ A SHS,306.57,0.02,0.12
991,EISAI CO LTD,305.31,0.02,0.13
992,ALNYLAM PHARMACEUTICALS INC,305.14,0.02,0.19
993,ALBEMARLE CORP,304.85,0.02,0.18
994,HEALTHPEAK PROPERTIES INC,304.08,0.02,0.17
995,SOCIETE GENERALE SA,304.01,0.02,0.16
996,BAKER HUGHES CO,302.51,0.02,0.19
997,YOKOGAWA ELECTRIC CORP,302.04,0.02,0.52
998,ZYNGA INC   CL A,301.23,0.02,0.26
999,NICE LTD,301.21,0.02,0.16
1000,VICI PROPERTIES INC,301.07,0.02,0.20
1001,EXTRA SPACE STORAGE INC,299.11,0.02,0.18
1002,DUKE REALTY CORP,298.75,0.02,0.18
1003,SARTORIUS AG VORZUG,297.76,0.02,0.17
1004,WAYFAIR INC  CLASS A,297.04,0.02,0.17
1005,GDS HOLDINGS LTD   ADR,296.80,0.02,0.16
1006,SANDS CHINA LTD,296.66,0.02,0.08
1007,MARKEL CORP,296.65,0.02,0.19
1008,PETROBRAS   PETROLEO BRAS,295.22,0.02,0.07
1009,PING AN BANK CO LTD A,294.57,0.02,0.05
1010,HENNES + MAURITZ AB B SHS,293.41,0.02,0.09
1011,LYXOR FTSE MIB UCITS ETF,292.94,0.02,6.05
1012,ROLLS ROYCE HOLDINGS PLC,292.56,0.02,0.22
1013,ARCONIC CORP,290.66,0.02,0.82
1014,BYD CO LTD H,290.63,0.02,0.11
1015,THOMSON REUTERS CORP,289.63,0.02,0.07
1016,WPP PLC,288.89,0.01,0.19
1017,UNIVERSAL HEALTH SERVICES B,288.81,0.01,0.25
1018,ALSTOM,287.71,0.01,0.16
1019,NOVOZYMES A/S B SHARES,286.27,0.01,0.20
1020,OBIC CO LTD,286.17,0.01,0.13
1021,OCCIDENTAL PETROLEUM CORP,285.07,0.01,0.16
1022,JIANGSU CHANGSHU RURAL COM A,284.56,0.01,0.85
1023,NORTONLIFELOCK INC,282.64,0.01,0.21
1024,LARGAN PRECISION CO LTD,282.34,0.01,0.17
1025,MMC NORILSK NICKEL PJSC,281.63,0.01,0.05
1026,PORSCHE AUTOMOBIL HLDG PRF,281.02,0.01,0.24
1027,HANG SENG BANK LTD,280.86,0.01,0.08
1028,ROYAL CARIBBEAN CRUISES LTD,279.32,0.01,0.15
1029,FACTSET RESEARCH SYSTEMS INC,278.58,0.01,0.20
1030,BAJAJ FINANCE LTD,277.72,0.01,0.06
1031,CHINA CONCH VENTURE HOLDINGS,276.91,0.01,0.29
1032,ALLIANT ENERGY CORP,276.08,0.01,0.20
1033,CHINA VANKE CO LTD H,274.27,0.01,0.39
1034,MISUMI GROUP INC,274.25,0.01,0.27
1035,WULIANGYE YIBIN CO LTD A,273.38,0.01,0.02
1036,NOVATEK PJSC SPONS GDR REG S,270.57,0.01,0.05
1037,NN GROUP NV,268.26,0.01,0.17
1038,NOMAD FOODS LTD,268.11,0.01,0.49
1039,BANCO DO BRASIL S.A.,268.00,0.01,0.12
1040,VEOLIA ENVIRONNEMENT,267.76,0.01,0.17
1041,SEKISUI HOUSE LTD,267.13,0.01,0.18
1042,ASE TECHNOLOGY HOLDING CO LT,266.18,0.01,0.19
1043,NATIONAL COMMERCIAL BANK,264.76,0.01,0.07
1044,NUTRIEN LTD,264.22,0.01,0.28
1045,STANDARD BANK GROUP LTD,263.16,0.01,0.17
1046,LONGI GREEN ENERGY TECHNOL A,261.92,0.01,0.05
1047,JUST EAT TAKEAWAY,260.70,0.01,0.14
1048,BOC HONG KONG HOLDINGS LTD,260.58,0.01,0.07
1049,PANDORA A/S,259.74,0.01,0.21
1050,AVALARA INC,255.48,0.01,0.17
1051,SBI LIFE INSURANCE CO LTD,254.55,0.01,0.19
1052,PENTAIR PLC,254.44,0.01,0.26
1053,CHECK POINT SOFTWARE TECH,253.87,0.01,0.13
1054,HANGZHOU HIKVISION DIGITAL A,253.58,0.01,0.05
1055,LUKOIL PJSC SPON ADR,251.84,0.01,0.12
1056,EQUINOR ASA,251.47,0.01,0.04
1057,GLOBALWAFERS CO LTD,250.48,0.01,0.21
1058,MIDEA GROUP CO LTD A,248.75,0.01,0.05
1059,FIRSTRAND LTD,247.78,0.01,0.12
1060,CSPC PHARMACEUTICAL GROUP LT,247.11,0.01,0.18
1061,NATIONAL BANK OF KUWAIT,246.22,0.01,0.12
1062,PEMBINA PIPELINE CORP,245.77,0.01,0.17
1063,SAUDI TELECOM CO,242.35,0.01,0.04
1064,CHINA LIFE INSURANCE CO H,242.28,0.01,0.14
1065,HENAN SHUANGHUI INVESTMENT A,241.44,0.01,0.10
1066,DAVITA INC,240.57,0.01,0.17
1067,ROYAL DUTCH SHELL PLC A SHS,239.46,0.01,0.17
1068,WANHUA CHEMICAL GROUP CO  A,238.66,0.01,0.06
1069,ASCENDIS PHARMA A/S   ADR,238.15,0.01,0.25
1070,ARGENX SE   ADR,237.49,0.01,0.16
1071,REXEL SA,236.86,0.01,0.45
1072,RENAISSANCERE HOLDINGS LTD,236.82,0.01,0.26
1073,GAMING AND LEISURE PROPERTIE,235.60,0.01,0.22
1074,SANTOS LTD,235.50,0.01,0.21
1075,BUDWEISER BREWING CO APAC LT,234.80,0.01,0.05
1076,BUNGE LTD,234.73,0.01,0.24
1077,AYALA LAND INC,234.02,0.01,0.17
1078,RELIANCE STEEL + ALUMINUM,233.27,0.01,0.28
1079,XP INC   CLASS A,232.40,0.01,0.14
1080,ARCELORMITTAL NY REGISTERED,232.40,0.01,0.08
1081,IMPALA PLATINUM HOLDINGS LTD,231.71,0.01,0.20
1082,ASTRA INTERNATIONAL TBK PT,231.65,0.01,0.12
1083,LONGFOR GROUP HOLDINGS LTD,227.17,0.01,0.06
1084,JAPAN AIRLINES CO LTD,226.65,0.01,0.25
1085,ASIAN PAINTS LTD,225.19,0.01,0.06
1086,GENPACT LTD,224.60,0.01,0.26
1087,JIANGSU YANGHE BREWERY  A,224.43,0.01,0.05
1088,ITALGAS SPA,222.86,0.01,0.40
1089,ISHARES PLC   ISHARES CORE FTS,222.46,0.01,0.18
1090,COUNTRY GARDEN SERVICES HOLD,221.60,0.01,0.10
1091,YANDEX NV A,220.85,0.01,0.39
1092,AUTOHOME INC ADR,220.53,0.01,0.17
1093,ADECCO GROUP AG REG,219.37,0.01,0.18
1094,WHIRLPOOL CORP,218.00,0.01,0.18
1095,NETWORK INTERNATIONAL HOLDIN,217.51,0.01,0.92
1096,WUXI APPTEC CO LTD H,216.58,0.01,0.33
1097,AMERICA MOVIL SPN ADR CL L,216.45,0.01,0.06
1098,CHROMA ATE INC,216.17,0.01,0.79
1099,WIX.COM LTD,214.09,0.01,0.14
1100,PUBLIC BANK BERHAD,212.83,0.01,0.10
1101,OMV AG,212.50,0.01,0.15
1102,SEMEN INDONESIA PERSERO TBK,212.33,0.01,0.37
1103,FUBON FINANCIAL HOLDING CO,211.65,0.01,0.11
1104,NOVATEK MICROELECTRONICS COR,211.32,0.01,0.24
1105,MAGAZINE LUIZA SA,210.98,0.01,0.06
1106,SHOPRITE HOLDINGS LTD,210.76,0.01,0.34
1107,ASR NEDERLAND NV,210.60,0.01,0.34
1108,CHUNGHWA TELECOM CO LTD,210.48,0.01,0.06
1109,LYFT INC A,210.45,0.01,0.13
1110,HENGAN INTL GROUP CO LTD,209.34,0.01,0.23
1111,GREAT WEST LIFECO INC,208.85,0.01,0.09
1112,FOMENTO ECONOMICO MEXICA UBD,208.44,0.01,0.12
1113,BB SEGURIDADE PARTICIPACOES,206.88,0.01,0.17
1114,CATHAY FINANCIAL HOLDING CO,206.71,0.01,0.09
1115,PULTEGROUP INC,205.05,0.01,0.16
1116,VIPSHOP HOLDINGS LTD   ADR,203.49,0.01,0.11
1117,SUMITOMO MITSUI TRUST HOLDIN,202.25,0.01,0.16
1118,ELANCO ANIMAL HEALTH INC,201.66,0.01,0.13
1119,COCA COLA EUROPEAN PARTNERS,200.62,0.01,0.53
1120,VANECK VECTORS GOLD MINERS ETF,200.17,0.01,0.11
1121,CHAROEN POKPHAND FOOD FORGN,198.99,0.01,0.24
1122,FRONTDOOR INC,198.22,0.01,0.42
1123,KINROSS GOLD CORP,197.05,0.01,0.30
1124,EUROFINS SCIENTIFIC,197.04,0.01,0.09
1125,CTBC FINANCIAL HOLDING CO LT,196.55,0.01,0.13
1126,AMBEV SA,196.38,0.01,0.04
1127,JD.COM INC   CL A,196.08,0.01,0.02
1128,AP MOLLER MAERSK A/S B,195.61,0.01,0.09
1129,J2 GLOBAL INC,195.17,0.01,0.40
1130,MANPOWERGROUP INC,194.67,0.01,0.34
1131,SAINSBURY (J) PLC,194.42,0.01,0.26
1132,GRACO INC,191.92,0.01,0.15
1133,CHINA RESOURCES BEER HOLDING,191.60,0.01,0.06
1134,MEDICAL PROPERTIES TRUST INC,191.44,0.01,0.15
1135,BRAMBLES LTD,190.11,0.01,0.15
1136,COCA COLA HBC AG DI,189.00,0.01,0.15
1137,LENOVO GROUP LTD,188.40,0.01,0.15
1138,AMBEV SA ADR,187.56,0.01,0.04
1139,CHINA TOURISM GROUP DUTY F A,186.86,0.01,0.06
1140,HEICO CORP,186.01,0.01,0.24
1141,CHINA SHENHUA ENERGY CO H,185.46,0.01,0.25
1142,EIFFAGE,185.18,0.01,0.18
1143,GREAT WALL MOTOR COMPANY H,184.53,0.01,0.16
1144,CHINA FEIHE LTD,183.72,0.01,0.08
1145,FORMOSA PLASTICS CORP,183.58,0.01,0.08
1146,CHINA GAS HOLDINGS LTD,182.48,0.01,0.08
1147,NAN YA PLASTICS CORP,182.22,0.01,0.08
1148,FRANKLIN RESOURCES INC,180.65,0.01,0.13
1149,MOLINA HEALTHCARE INC,180.50,0.01,0.13
1150,KINGSPAN GROUP PLC,179.75,0.01,0.13
1151,HASBRO INC,179.64,0.01,0.13
1152,UNIBAIL RODAMCO WESTFIELD,178.46,0.01,0.15
1153,ATOS SE,176.58,0.01,0.16
1154,JAZZ PHARMACEUTICALS PLC,176.48,0.01,0.18
1155,CHINA PETROLEUM + CHEMICAL H,175.90,0.01,0.14
1156,INNER MONGOLIA YILI INDUS A,175.45,0.01,0.05
1157,ZTO EXPRESS CAYMAN INC ADR,175.41,0.01,0.09
1158,POLYMETAL INTERNATIONAL PLC,175.12,0.01,0.14
1159,SANLAM LTD,173.84,0.01,0.18
1160,GRAND CITY PROPERTIES,173.81,0.01,0.36
1161,CARREFOUR SA,173.12,0.01,0.11
1162,AMEDISYS INC,172.79,0.01,0.17
1163,ALIBABA HEALTH INFORMATION T,172.04,0.01,0.04
1164,KASIKORNBANK PCL FOREIGN,171.38,0.01,0.17
1165,SINO BIOPHARMACEUTICAL,170.90,0.01,0.09
1166,YUNNAN ENERGY NEW MATERIAL A,169.39,0.01,0.09
1167,BROTHER INDUSTRIES LTD,169.13,0.01,0.29
1168,BROWN + BROWN INC,168.99,0.01,0.12
1169,CHINA RESOURCES GAS GROUP LT,167.88,0.01,0.13
1170,HAIER SMART HOME CO LTD H,167.29,0.01,0.17
1171,HEICO CORP CLASS A,166.86,0.01,0.16
1172,SODEXO SA,166.56,0.01,0.12
1173,TELKOM INDONESIA PERSERO TBK,166.12,0.01,0.07
1174,WEICHAI POWER CO LTD H,165.50,0.01,0.39
1175,DICK S SPORTING GOODS INC,165.40,0.01,0.41
1176,REALTEK SEMICONDUCTOR CORP,164.97,0.01,0.21
1177,BURBERRY GROUP PLC,164.75,0.01,0.15
1178,CONCENTRIX CORP,164.62,0.01,0.30
1179,CHINA PACIFIC INSURANCE GR H,164.57,0.01,0.14
1180,MEGA FINANCIAL HOLDING CO LT,164.38,0.01,0.10
1181,XINYI SOLAR HOLDINGS LTD,164.13,0.01,0.06
1182,VISTRA CORP,163.78,0.01,0.16
1183,LOJAS RENNER S.A.,163.12,0.01,0.22
1184,CAPITEC BANK HOLDINGS LTD,162.86,0.01,0.13
1185,UNI PRESIDENT ENTERPRISES CO,162.84,0.01,0.11
1186,LUNDIN ENERGY AB,162.01,0.01,0.19
1187,ASAHI KASEI CORP,161.95,0.01,0.10
1188,VANECK VECTORS JUNIOR GOLD MIN,161.71,0.01,0.23
1189,COMERICA INC,161.07,0.01,0.19
1190,TECH MAHINDRA LTD,160.91,0.01,0.11
1191,ANGLOGOLD ASHANTI SPON ADR,160.84,0.01,0.16
1192,SANTEN PHARMACEUTICAL CO LTD,160.56,0.01,0.23
1193,LUMEN TECHNOLOGIES INC,160.40,0.01,0.14
1194,JONJEE HIGH TECH INDUSTRIA A,160.28,0.01,0.19
1195,COUNTRY GARDEN HOLDINGS CO,159.46,0.01,0.05
1196,QUANTA COMPUTER INC,159.23,0.01,0.13
1197,JUNIPER NETWORKS INC,158.01,0.01,0.20
1198,CHINA STEEL CORP,157.81,0.01,0.10
1199,KIMBERLY CLARK DE MEXICO A,157.51,0.01,0.53
1200,KINGSOFT CORP LTD,156.55,0.01,0.16
1201,SHAANXI COAL INDUSTRY CO L A,156.25,0.01,0.11
1202,MMC NORILSK NICKEL PJSC ADR,156.23,0.01,0.03
1203,ZHONGSHENG GROUP HOLDINGS,156.02,0.01,0.09
1204,GREE ELECTRIC APPLIANCES I A,155.72,0.01,0.05
1205,ITAUSA SA,155.27,0.01,0.11
1206,WHEATON PRECIOUS METALS CORP,154.94,0.01,0.26
1207,CHAILEASE HOLDING CO LTD,154.89,0.01,0.17
1208,NOVATEK PJSC,154.53,0.01,0.03
1209,SHIMAO GROUP HOLDINGS LTD,154.36,0.01,0.13
1210,HANNOVER RUECK SE,153.73,0.01,0.07
1211,BID CORP LTD,153.54,0.01,0.23
1212,NRG ENERGY INC,153.51,0.01,0.16
1213,GREE ELECTRIC APPLIANCES I A,153.12,0.01,0.05
1214,SILERGY CORP,153.04,0.01,0.18
1215,YUANTA FINANCIAL HOLDING CO,151.16,0.01,0.16
1216,S.O.I.T.E.C.,150.94,0.01,0.21
1217,TABCORP HOLDINGS LTD,150.89,0.01,0.21
1218,E.SUN FINANCIAL HOLDING CO,150.69,0.01,0.12
1219,STONECO LTD A,150.60,0.01,0.07
1220,HERO MOTOCORP LTD,150.21,0.01,0.16
1221,KLEPIERRE,149.47,0.01,0.20
1222,ORKLA ASA,148.29,0.01,0.13
1223,ALLEGRO.EU SA,147.78,0.01,0.06
1224,BILIBILI INC SPONSORED ADR,147.76,0.01,0.06
1225,FORMOSA CHEMICALS + FIBRE,147.65,0.01,0.08
1226,CAMPBELL SOUP CO,147.50,0.01,0.09
1227,ZAI LAB LTD ADR,147.00,0.01,0.11
1228,RED ELECTRICA CORPORACION SA,146.95,0.01,0.12
1229,INNOVENT BIOLOGICS INC,146.85,0.01,0.09
1230,ALLIANCE DATA SYSTEMS CORP,146.44,0.01,0.37
1231,DONG E E JIAOCO LTD A,145.83,0.01,0.35
1232,WANT WANT CHINA HOLDINGS LTD,144.75,0.01,0.15
1233,SBERBANK PJSC  SPONSORED ADR,144.42,0.01,0.07
1234,FIRST AMERICAN FINANCIAL,144.09,0.01,0.23
1235,WR BERKLEY CORP,143.40,0.01,0.11
1236,TOP GLOVE CORP BHD,143.12,0.01,0.09
1237,SAREPTA THERAPEUTICS INC,142.92,0.01,0.10
1238,NARI TECHNOLOGY CO LTD A,142.84,0.01,0.07
1239,NOTRE DAME INTERMED PAR SA,142.57,0.01,0.14
1240,AGRICULTURAL BANK OF CHINA H,142.51,0.01,0.12
1241,FIRST ABU DHABI BANK PJSC,142.48,0.01,0.03
1242,CP ALL PCL FOREIGN,142.42,0.01,0.07
1243,ALLEGHANY CORP,141.92,0.01,0.15
1244,MOBILE TELESYSTEMS SP ADR,141.72,0.01,0.15
1245,FOOT LOCKER INC,141.40,0.01,0.31
1246,NANYA TECHNOLOGY CORP,140.93,0.01,0.15
1247,ON SEMICONDUCTOR CORP,140.58,0.01,0.10
1248,WULIANGYE YIBIN CO LTD A,139.84,0.01,0.02
1249,BIDVEST GROUP LTD,139.24,0.01,0.35
1250,KINGDEE INTERNATIONAL SFTWR,139.05,0.01,0.09
