Percent,Quanity,Reference,Annual_Income
10,1916727,2233424,35992
20,1916727,1244962,6495
30,1916727,927321,4838
40,1916727,729883,3808
50,1916727,604385,3153
60,1916727,496242,2588
70,1916727,417215,2176
80,1916727,324075,1690
90,1916727,210320,1097
100,1916727,80573,420
