Percent,Quanity,Reference,Annual_Income
0.1,19167,147132,76763
0.2,19167,65714,34285
0.3,19167,52032,27147
0.4,19168,44933,23442
0.5,19167,40407,21082
0.6,19167,37314,19468
0.7,19167,35019,18270
0.8,19168,33271,17358
0.9,19167,31848,16616
1,19167,30696,16015
