created,tweet_text,ko_text,nouns
Thu Feb 10 06:40:48 +0000 2022,RT @Frappu____: 근데 진짜 대박이지않음? 사이퍼즈라는게임이 제주도에잇는 회사에서 만들어져가지고 제주도 출신 남자아이돌들이 플레이하기 시작해서 그게 결국퍼져가지고 올해추석때 아이돌e스포츠대회에서 사이퍼즈를 종목으로 채택됐다는게 와 그냥 내…,  근데 진짜 대박이지않음 사이퍼즈라는게임이 제주도에잇는 회사에서 만들어져가지고 제주도 출신 남자아이돌들이 플레이하기 시작해서 그게 결국퍼져가지고 올해추석때 아이돌스포츠대회에서 사이퍼즈를 종목으로 채택됐다는게 와 그냥 내,"['대박', '사이퍼즈', '제주도', '회사', '제주도', '출신', '남자', '아이돌', '플레이', '시작', '그게', '올해', '추석', '아이돌', '스포츠', '대회', '사이퍼즈', '종목', '채택', '그냥']"
Thu Feb 10 06:40:48 +0000 2022,"GBA 맞춤형 UV 프린트 쉘 게임 보이 어드밴스 IPS LCD 하우징 GBA IPS DIY GAMENAISSANCE, CHINA|Bulbasaur https://t.co/cQ8FF4qCwh 파트너스 활동으… https://t.co/Enkbj0Glt0", 맞춤형  프린트 쉘 게임 보이 어드밴스   하우징       파트너스 활동으 ,"['맞춤', '프린트', '보이', '어드밴스', '파트너', '활동']"
Thu Feb 10 06:40:45 +0000 2022,"RT @ID_PpNv: 기사에도 나와있지만... 진작, 이미 온라인 게임에서 경험할 수 있었던 거고... 
당장 저도 마비노기에서 치마 입고 윈드밀 돌다가 지나가는 유저가 개소리 싸는 걸 들었던 적이 있습니다...... 인셀남 혐오는 유구하게 남성…",  기사에도 나와있지만 진작 이미 온라인 게임에서 경험할 수 있었던 거고 당장 저도 마비노기에서 치마 입고 윈드밀 돌다가 지나가는 유저가 개소리 싸는 걸 들었던 적이 있습니다 인셀남 혐오는 유구하게 남성,"['기사', '진작', '온라인', '경험', '마비노기', '치마', '윈드밀', '유저', '소리', '인셀남', '혐오', '유구', '남성']"
Thu Feb 10 06:40:45 +0000 2022,@cherryloves_me 수박게임 어제 오전?에 알아서 다행히 봤죠!! 저 이상 큰 사진이 있는지는 모르겠어요 ㅜ, 수박게임 어제 오전에 알아서 다행히 봤죠 저 이상 큰 사진이 있는지는 모르겠어요 ㅜ,"['수박', '어제', '오전', '사진']"
Thu Feb 10 06:40:44 +0000 2022,"RT @Renell_0120_: 북미섭 런칭하니까 이상햇던부분들 지적 나오는거 오히려 좋은디 캐릭터들 체형이나 걸음걸이같은고ㅋㅋ 무조건적으로 갓겜이라는 소리 들을거라는 기대도 안했음 외국물먹고 개쳐맞아봐야 빻은부분들을 고칠거아냐 
로아 하는사람들은…",  북미섭 런칭하니까 이상햇던부분들 지적 나오는거 오히려 좋은디 캐릭터들 체형이나 걸음걸이같은고ㅋㅋ 무조건적으로 갓겜이라는 소리 들을거라는 기대도 안했음 외국물먹고 개쳐맞아봐야 빻은부분들을 고칠거아냐 로아 하는사람들은,"['북미', '런칭하', '햇던', '부분', '지적', '캐릭터', '체형', '걸음걸이', '무조건', '소리', '외국', '은부', '사람']"
Thu Feb 10 06:40:44 +0000 2022,"칼같은 네크로맨서 - 게임 속 나의 직업은? | 미니맵 - 게임 속 직업으로 알아보는 나의 성향! https://t.co/KOKTVC7zj8 #테스트 #미니맵 #게임속직업

응애...네크로 맨서...",칼같은 네크로맨서  게임 속 나의 직업은  미니맵  게임 속 직업으로 알아보는 나의 성향  테스트 미니맵 게임속직업응애네크로 맨서,"['네크로맨서', '직업', '미니맵', '직업', '성향', '테스트', '미니맵', '직업', '응애']"
Thu Feb 10 06:40:44 +0000 2022,"RT @inventeam: 국회에서 진행된 게임산업법 전부개정안 공청회. 
모호한 조항에 대해서는 명확한 정의가 필요하다고 했습니다만 참고인과 여야 의원들 모두 확률형아이템의 법적 규제가 필요하다는 데에 공감했습니다.
https://t.co/AnNR…",  국회에서 진행된 게임산업법 전부개정안 공청회 모호한 조항에 대해서는 명확한 정의가 필요하다고 했습니다만 참고인과 여야 의원들 모두 확률형아이템의 법적 규제가 필요하다는 데에 공감했습니다,"['국회', '진행', '산업', '개정안', '공청회', '조항', '대해', '정의', '참고인', '여야', '의원', '확률', '아이템', '법적', '규제', '공감']"
Thu Feb 10 06:40:40 +0000 2022,RT @Frappu____: 근데 진짜 대박이지않음? 사이퍼즈라는게임이 제주도에잇는 회사에서 만들어져가지고 제주도 출신 남자아이돌들이 플레이하기 시작해서 그게 결국퍼져가지고 올해추석때 아이돌e스포츠대회에서 사이퍼즈를 종목으로 채택됐다는게 와 그냥 내…,  근데 진짜 대박이지않음 사이퍼즈라는게임이 제주도에잇는 회사에서 만들어져가지고 제주도 출신 남자아이돌들이 플레이하기 시작해서 그게 결국퍼져가지고 올해추석때 아이돌스포츠대회에서 사이퍼즈를 종목으로 채택됐다는게 와 그냥 내,"['대박', '사이퍼즈', '제주도', '회사', '제주도', '출신', '남자', '아이돌', '플레이', '시작', '그게', '올해', '추석', '아이돌', '스포츠', '대회', '사이퍼즈', '종목', '채택', '그냥']"
Thu Feb 10 06:40:38 +0000 2022,"RT @yam_11124: #커미션 #커미션_오픈  #커미션RT
🌸RT이벤트!🌸
rt 하신 분들중 추첨으로 한분께 원하시는 캐릭터를 그려드립니다!

🌼증명사진 커미션!
🌼파판14 위주의 커미션!
🌼게임 캐릭터 커미션!
🌼그외에도 다른 자캐 커미션 가…",  커미션 커미션오픈  커미션이벤트 하신 분들중 추첨으로 한분께 원하시는 캐릭터를 그려드립니다증명사진 커미션파판 위주의 커미션게임 캐릭터 커미션그외에도 다른 자캐 커미션 가,"['커미션', '커미션', '오픈', '커미션', '이벤트', '추첨', '캐릭터', '증명사진', '커미션', '파판', '위주', '커미션', '캐릭터', '커미션', '자캐', '커미션']"
Thu Feb 10 06:40:36 +0000 2022,"RT @Yugioh_Korea: [유희왕 마스터 듀얼]
💫━━━━━━━
 엑시즈 페스티벌
　  개최 결정!
━━━━━━━💫

기간 : 2월 17일 ~ 2월 24일

엑스트라 덱의 카드 종류에 제한이 설정되는 이벤트로,
이번에는 ""엑시즈 몬스터""만 사…",  유희왕 마스터 듀얼 엑시즈 페스티벌  개최 결정기간  월 일  월 일엑스트라 덱의 카드 종류에 제한이 설정되는 이벤트로이번에는 엑시즈 몬스터만 사,"['유희왕', '마스터', '듀얼', '엑시즈', '페스티벌', '개최', '결정', '기간', '엑스트라', '카드', '종류', '제한', '설정', '이벤트', '엑시즈', '몬스터']"
